"","Tracking.ID","Duration","Mean.Intensity","Speed","Int.var","Track.Length","type"
"1",1,48,898.333285649618,0.00203663038004418,258373.925557637,86.1139068603516,"K"
"2",2,87,825.249044922577,0.00200852002029045,48800.3303569801,155.447052001953,"K"
"4",5,53,1235.74097831294,0.0014993744246637,209381.219167793,70.1288833618164,"K"
"5",6,37,1038.85328798036,0.00154899847843303,12788.9686379555,50.1541862487793,"K"
"7",8,89,1283.27814697951,0.00289679479994282,1009503.16931243,229.368148803711,"K"
"8",9,44,1363.56965221058,0.00461132184542759,410259.924538641,178.432647705078,"K"
"9",10,29,1533.91362893993,0.00188185215665726,136788.279300045,47.4089698791504,"K"
"11",12,289,1411.53526908056,0.00781139261471253,1173822.62594946,2024.09362792969,"K"
"12",13,67,777.874971076624,0.00197867057905762,245423.967075924,117.485145568848,"K"
"13",14,71,869.992439807301,0.0015793427349958,90878.8911138382,101.18815612793,"K"
"14",15,37,809.999837102117,0.00427592779063464,191148.794610773,138.500701904297,"K"
"15",16,58,1850.73563358702,0.0083460395741113,306191.838628928,428.136169433594,"K"
"16",17,35,774.386694335938,0.00164111364446238,67264.6356803329,50.2028961181641,"K"
"17",18,87,723.241249873721,0.00516978910410788,543351.54816476,400.095184326172,"K"
"18",20,167,1978.07006634924,0.00335133220194467,1740037.44145296,500.634460449219,"K"
"19",21,25,1523.55556640625,0.00906471339840209,494289.49241158,194.972106933594,"K"
"20",22,159,933.110204972562,0.0083471115898117,596539.925198881,1185.35864257813,"K"
"21",23,24,1860.1969833374,0.00559165557522488,412068.764372115,115.711822509766,"K"
"23",25,41,1513.75827696265,0.00164157938343124,221569.227623124,59.0655097961426,"K"
"24",26,120,857.920910517375,0.0027168058481986,257249.136840215,290.935546875,"K"
"25",27,106,707.698379156725,0.0033823795518921,175470.695953325,321.388244628906,"K"
"27",29,75,1072.96343149821,0.00138741697839971,187047.08366701,92.9748916625977,"K"
"28",30,36,638.32763671875,0.00779119827202522,514893.578881072,245.399139404297,"K"
"29",32,59,688.324167025292,0.0021309912650583,197400.062078227,111.215316772461,"K"
"31",34,96,753.96777788798,0.00176665639515513,123302.297024457,151.035980224609,"K"
"32",35,96,1184.37712049484,0.00376165942641245,198909.076159014,321.568298339844,"K"
"33",36,112,976.020547594343,0.00281014971551485,124832.286802051,281.088806152344,"K"
"34",37,160,615.89076910019,0.00892608625094594,684609.275377144,1277.27270507813,"K"
"35",39,89,1743.90032307486,0.00631739235012157,781279.08893714,500.303344726563,"K"
"36",40,63,2176.49831196619,0.00826903683839426,598552.422634225,461.287536621094,"K"
"37",42,86,487.024455758028,0.00191405693134156,69994.1766392314,146.417922973633,"K"
"38",43,57,975.067681563528,0.00226222150532911,38909.1676225116,113.996467590332,"K"
"39",45,87,269.411427728061,0.00346161862754068,114062.993530688,267.875610351563,"K"
"40",46,67,981.150830624709,0.00180940323028181,90746.2943120269,107.449867248535,"K"
"41",48,70,927.332919747489,0.00149581816082861,39962.537245494,92.8764495849609,"K"
"42",49,78,1030.10074977386,0.00146363615118838,123678.739488211,101.401512145996,"K"
"44",51,67,1073.58640938375,0.00265491389048596,80037.13476892,157.667724609375,"K"
"45",53,81,885.974921897606,0.00261541610452696,231087.225369065,188.284103393555,"K"
"46",58,49,1221.18332843391,0.00332066256548084,255871.669215686,143.36994934082,"K"
"47",59,114,829.619336847674,0.00536090517233732,296318.63978601,545.151000976563,"K"
"48",64,111,522.348323718922,0.0027277244399143,458348.527978321,269.989624023438,"K"
"49",65,68,799.936673669255,0.00432679697796494,95735.9315130364,260.867095947266,"K"
"50",66,75,755.228214518229,0.00384224252971959,73781.6910440856,255.870590209961,"K"
"51",67,67,2802.68289047925,0.0098163912189193,283619.665857291,583.035095214844,"K"
"52",71,112,1376.87278141294,0.00536033251672314,697128.756277839,535.456787109375,"K"
"53",74,70,704.913941519602,0.00245209602365756,369361.687597816,152.201614379883,"K"
"54",79,115,636.372716290018,0.00531071972172389,170348.59505344,544.837341308594,"K"
"55",88,55,1629.07492481579,0.00336276582890639,2543055.35718891,165.833343505859,"K"
"57",96,90,1095.75565982395,0.00247686606370111,243452.603167195,198.39680480957,"K"
"58",101,86,1008.44066832786,0.00278253867599072,82813.8617003489,212.85807800293,"K"
"59",102,87,899.52715433055,0.00233690251682907,89106.2753709751,180.885467529297,"K"
"62",108,86,1487.35798822447,0.00404786333195208,330722.996623417,309.685546875,"K"
