"","Tracking.ID","Duration","Mean.Intensity","Var.Intensity","Track.Length","Dry.Mass","Mean.Speed"
"1",1,25,101.623786315918,39.8862023706746,131.821441650391,379.89173828125,0.00268279382968709
"2",2,62,113.233667681294,47.1310219953556,292.361083984375,375.301038188319,0.00266254010045382
"3",3,24,228.49547068278,565.287107407817,127.840148925781,329.320468266805,0.00281318700264977
"4",4,28,105.275713511876,98.501599749805,175.851837158203,520.077959333147,0.00246075603462049
"5",5,21,123.972701299758,57.9315221248887,141.479446411133,631.42524210612,0.00393011829874013
"6",6,40,107.167734146118,35.2202773861858,261.997009277344,551.613035583496,0.00357568600119498
"7",7,145,86.035748027933,80.293914603642,436.543731689453,406.62575936153,0.00168423752186047
"8",8,54,81.1355825353552,17.3075345478585,336.354034423828,371.067626387985,0.00352561968062424
"9",9,17,193.061819637523,368.968865305331,228.83447265625,254.72980185116,0.0079453565122094
"10",10,71,267.446463678924,2368.25520337629,457.938018798828,339.200920427349,0.00363428574928548
"11",11,104,194.66398026393,1922.55955570343,608.672729492188,420.219332401569,0.00328304520774253
"12",12,54,97.713207103588,21.9277795831456,285.341735839844,534.463251184534,0.00299098926600737
"13",13,47,104.908906977227,73.6866256227009,266.557861328125,458.64885175989,0.00321939683888796
"14",14,49,99.062462631537,100.422545690855,192.553909301758,425.798744668766,0.00219345117534431
"15",15,65,107.637719726562,105.517004474368,215.087387084961,347.605585303673,0.00186703005942945
"16",16,15,173.823593139648,583.211643813511,98.5025024414063,355.267830403646,0.00390902672578315
"17",17,29,128.183471153522,89.2132675956075,223.587448120117,363.716380152209,0.00394039832151195
"18",19,144,185.608446068234,9561.33492107605,904.421081542969,639.659743414985,0.00350362660812696
"19",20,32,199.240824222565,2793.99349343534,312.971649169922,473.088551521301,0.00485267342188426
"20",21,20,85.7296718597412,39.1520379391698,143.822326660156,293.081624603272,0.0039047625859415
"21",23,18,87.7893502977159,146.677483895017,310.048583984375,489.706149631076,0.00689118102138096
"24",26,132,133.46763865153,137.368078736314,605.169311523438,627.130087534587,0.00252975331047747
"28",30,48,85.2783796787262,78.0047016175426,260.243591308594,414.948335647583,0.0030761750574729
"30",32,16,99.2902901172639,908.071874322625,139.495971679688,308.025156974793,0.00483756726219629
"39",41,16,68.2294130325317,21.5156220680558,111.778007507324,218.097625732422,0.00240348931790019
"40",42,15,70.1930458068848,38.1753471603154,115.474113464355,525.788557942709,0.0040989572756059
"50",52,12,85.9844710032145,164.525089529241,88.0188217163086,540.90365600586,0.00333342157748782
"66",68,26,82.4057052318867,372.5262477968,209.464950561523,540.860799936148,0.0041596991661936
"69",71,14,136.060477120536,1960.18447583283,165.234909057617,1114.73348127093,0.00421498733787582
"70",72,17,172.099254832548,653.839207429976,154.193283081055,397.280154957491,0.00466511458944296
"75",80,136,333.620190227733,1224.98675988077,462.8330078125,509.630305346321,0.00190467309299425
"99",106,15,180.462386067708,269.636606313074,110.3125,402.18154296875,0.00394206421333365
"109",116,36,195.80200958252,621.697395052166,381.978851318359,362.523760477702,0.00594501370630626
"125",134,28,155.398720060076,262.413907441248,313.461364746094,584.670751299177,0.00492242494753252
"126",135,13,116.485223623423,817.916443492833,216.09228515625,912.333115797777,0.00668367386485139
"127",138,17,132.211009306066,216.880379283621,213.718276977539,630.382545022404,0.00647305526581477
"130",141,13,67.545408982497,7.54227869483135,93.4297943115234,293.161435640775,0.00332443638762925
"152",164,23,74.0674833214801,94.6757919488891,245.717971801758,484.551695450493,0.00588539213640615
"159",171,46,159.950742638629,641.099740238062,268.370635986328,312.672556338103,0.00331330715465204
"171",185,21,111.40868813651,74.0384357164427,204.882141113281,469.090098063151,0.00476867222314468
"180",194,12,78.5357837677002,48.1874109757445,161.860580444336,273.668120066325,0.00465345495930788
"184",199,28,67.3746410097395,10.9959035314962,87.7982177734375,226.61990574428,0.00134211197103098
"188",205,23,103.912663667098,43.71853673668,163.443359375,334.529150921366,0.00412713047328659
"192",209,111,250.88025012317,824.103283153145,412.996978759766,687.200402612085,0.00208571172393435
"201",218,17,123.227583492504,129.899332621376,79.0497589111328,414.819434670841,0.00274490576339303
"202",220,65,329.252778508113,13824.4810549397,370.223571777344,437.833974984976,0.00321363376269801
"205",223,16,77.059045791626,176.571166709317,119.101333618164,550.057235717774,0.00330840019353976
"209",227,18,71.104376051161,4.22057505268027,186.968536376953,412.026685926649,0.00532290107366862
"212",230,29,115.457996763032,712.411598721475,215.34716796875,462.792603591393,0.00427287997652976
"218",236,89,311.285808091753,14053.1839699362,590.318054199219,532.089824205034,0.00372676052881037
"219",238,145,88.2426994060648,33.2488202272883,678.830017089844,499.044824850148,0.00261902831663166
"231",250,23,100.297701296599,69.6345879317603,189.505294799805,296.169294274372,0.0045474446140526
