Frame,Tracking_ID,Position_X,Position_Y,Volume,Radius,Area,Length,Width,Orientation,Dry_Mass,Displacement,Speed,Instantaneous_Velocity_X,Instantaneous_Velocity_Y,Track_Length,mCherry_Integrated_Intensity,mCherry_Mean_Intensity,mCherry_SD_Intensity,mCherry_Maximum_Intensity,mCherry_Skewness
1,104,369.9501953,578.0842285,3075.323486,23.58524132,1747.553833,65.87931824,60.46067429,61.18920898,768.8300781,0,NaN,NaN,NaN,0,3432813,882.2456055,1158.757813,5230.93457,1.903669834
2,104,367.5049438,578.7876587,2911.863525,25.10339355,1979.77002,74.19084167,56.11743927,-85.60128784,727.9651489,2.54441905,0.002865336835,-0.00275366148,0.0007921510842,2.54441905,3447929.5,784.1550293,1098.217529,5023.958008,2.10951519
3,104,367.0228577,577.4133301,3258.040527,26.24861908,2164.525879,69.69937134,66.09321594,39.4724617,814.5093384,3.003233433,0.001618254697,-0.0005356512847,-0.001527031767,4.000848293,3433616.25,710.3063965,1053.287354,5380.995117,2.260621071
4,104,367.9238892,576.8012085,2862.39209,24.51622581,1888.239502,65.29472351,52.58905792,88.63607025,715.5973511,2.398344755,0.00121032109,0.001001146156,-0.0006801350974,5.090137482,3331318,790.3473511,1106.078979,5391.711914,2.083921671
5,104,367.4455566,576.7016602,2859.51123,24.69165802,1915.359619,67.70009613,54.68084717,90,714.8770752,2.86089325,0.0005428683362,-0.0005314805894,-0.0001106092677,5.578719139,3359851.75,785.5629272,1101.680664,5587.834961,2.097542048
6,104,367.4122009,576.3731689,2959.43335,24.39488411,1869.59436,63.55166626,56.690979,56.30993652,739.857605,3.060905218,0.0003668670834,-3.71E-05,-0.0003649902355,5.908899307,3336761.25,797.1228027,1111.943359,5261.744629,2.064994812
7,104,368.6402283,575.1738281,3038.764404,24.99569893,1962.819824,65.64706421,54.45451736,37.56859207,759.6903687,3.191620827,0.001907253754,0.001364474883,-0.00133260095,7.625427723,3329004,753.678894,1100.406494,5337.276367,2.135639191
8,104,368.9824829,575.5531006,3100.973633,25.04960442,1971.294922,67.33006287,54.06448746,83.01894379,775.2426758,2.709810972,0.0005676308065,0.0003802829306,0.0004214138316,8.136295319,3284538.25,750.2370605,1092.203613,5070.81543,2.110625982
9,104,366.7765198,574.197937,3082.398682,25.23201942,2000.110107,81.38817596,57.44904327,82.47618103,770.598999,5.01751709,0.00287662819,-0.002451070119,-0.001505737309,10.72526073,3321660.75,744.9346924,1102.292236,5296.603516,2.158176184
10,104,367.4073181,575.2471313,3055.508545,24.86585045,1942.479858,60.76969528,58.53010941,60.80251694,763.8764038,3.809900999,0.001360244816,0.0007008870598,0.001165771508,11.94948101,3290791,754.7683716,1102.325928,5429.688965,2.113231659
